,School,Date,Venue,Opponent,Result/Line
6061,La Salle,3-07,N,Rhode Island,W
6062,La Salle,3-08,N,Duquesne,W
6063,La Salle,3-09,N,Fordham,L
6064,Mississippi St.,11-07,H,Texas A&M Corpus Chris,W
6065,Mississippi St.,11-11,N,Akron,W
6066,Mississippi St.,11-13,H,Arkansas Pine Bluff,W
6067,Mississippi St.,11-17,H,South Dakota,W
6068,Mississippi St.,11-21,N,Marquette,W
6069,Mississippi St.,11-23,N,Utah,W
6070,Mississippi St.,11-28,H,Nebraska Omaha,W
6071,Mississippi St.,12-03,H,Mississippi Valley St.,W
6072,Mississippi St.,12-11,A,Minnesota,W
6073,Mississippi St.,12-14,N,Jackson St.,W
6074,Mississippi St.,12-17,H,Nicholls St.,W
6075,Mississippi St.,12-20,N,Drake,L
6076,Mississippi St.,12-28,H,Alabama,L
6077,Mississippi St.,1-03,A,Tennessee,L
6078,Mississippi St.,1-07,H,Mississippi,W
6079,Mississippi St.,1-11,A,Georgia,L
6080,Mississippi St.,1-14,A,Auburn,L
6081,Mississippi St.,1-17,H,Tennessee,L
6082,Mississippi St.,1-21,H,Florida,L
6083,Mississippi St.,1-25,A,Alabama,L
6084,Mississippi St.,1-28,H,TCU,W
6085,Mississippi St.,1-31,A,South Carolina,W
6086,Mississippi St.,2-04,H,Missouri,W
6087,Mississippi St.,2-08,H,LSU,W
6088,Mississippi St.,2-11,A,Arkansas,W
6089,Mississippi St.,2-15,H,Kentucky,L
6090,Mississippi St.,2-18,A,Mississippi,W
6091,Mississippi St.,2-21,A,Missouri,L
6092,Mississippi St.,2-25,H,Texas A&M,W
6093,Mississippi St.,2-28,H,South Carolina,W
6094,Mississippi St.,3-04,A,Vanderbilt,L
6095,Mississippi St.,3-09,N,Florida,W
6096,Mississippi St.,3-10,N,Alabama,L
6097,Mississippi St.,3-14,N,Pittsburgh,L
6098,Florida Gulf Coast,11-07,A,USC,W
6099,Florida Gulf Coast,11-09,A,San Diego,L
6100,Florida Gulf Coast,11-13,H,Ave Maria,W
6101,Florida Gulf Coast,11-16,A,Tennessee,L
6102,Florida Gulf Coast,11-21,N,Northern Kentucky,W
6103,Florida Gulf Coast,11-22,N,Drexel,W
6104,Florida Gulf Coast,11-23,N,UMKC,W
6105,Florida Gulf Coast,11-30,A,Georgia Southern,W
6106,Florida Gulf Coast,12-04,H,FIU,W
6107,Florida Gulf Coast,12-07,A,Florida Atlantic,L
6108,Florida Gulf Coast,12-10,H,Mercer,W
6109,Florida Gulf Coast,12-16,A,St. Bonaventure,W
6110,Florida Gulf Coast,12-21,H,Canisius,W
6111,Florida Gulf Coast,12-31,H,Jacksonville,W
6112,Florida Gulf Coast,1-02,A,Central Arkansas,W
6113,Florida Gulf Coast,1-05,A,Austin Peay,L
6114,Florida Gulf Coast,1-07,H,North Florida,W
6115,Florida Gulf Coast,1-12,A,Eastern Kentucky,L
6116,Florida Gulf Coast,1-14,A,Bellarmine,L
6117,Florida Gulf Coast,1-19,H,Jacksonville St.,W
6118,Florida Gulf Coast,1-21,H,Kennesaw St.,L
6119,Florida Gulf Coast,1-26,A,Queens,L
6120,Florida Gulf Coast,1-28,A,Liberty,L
6121,Florida Gulf Coast,2-02,H,Central Arkansas,L
6122,Florida Gulf Coast,2-04,H,North Alabama,L
6123,Florida Gulf Coast,2-09,A,North Florida,W
6124,Florida Gulf Coast,2-11,A,Jacksonville,W
6125,Florida Gulf Coast,2-15,A,Stetson,L
6126,Florida Gulf Coast,2-18,H,Stetson,L
6127,Florida Gulf Coast,2-22,H,Lipscomb,L
6128,Florida Gulf Coast,2-24,H,Austin Peay,W
6129,Florida Gulf Coast,2-27,N,Queens,L
6130,Longwood,11-07,A,Alabama,L
6131,Longwood,11-11,A,George Mason,L
6132,Longwood,11-13,H,Pfeiffer,W
6133,Longwood,11-18,H,VMI,W
6134,Longwood,11-19,H,Fairleigh Dickinson,W
6135,Longwood,11-20,H,SIU Edwardsville,L
6136,Longwood,11-25,H,Mary Baldwin,W
6137,Longwood,11-28,A,San Diego,L
6138,Longwood,12-03,A,Delaware St.,W
6139,Longwood,12-10,A,Wichita St.,L
6140,Longwood,12-13,A,St. Francis NY,W
6141,Longwood,12-17,A,The Citadel,W
6142,Longwood,12-20,H,South Carolina St.,W
6143,Longwood,12-29,H,High Point,W
6144,Longwood,12-31,A,Campbell,W
6145,Longwood,1-04,A,Charleston Southern,W
6146,Longwood,1-07,H,Winthrop,W
6147,Longwood,1-12,A,UNC Asheville,L
6148,Longwood,1-14,H,USC Upstate,W
6149,Longwood,1-18,H,Gardner Webb,W
6150,Longwood,1-21,A,Presbyterian,W
6151,Longwood,1-26,A,Radford,L
6152,Longwood,1-28,H,Charleston Southern,L
6153,Longwood,2-01,A,Winthrop,L
6154,Longwood,2-04,H,Campbell,W
6155,Longwood,2-08,H,Presbyterian,W
6156,Longwood,2-11,A,High Point,W
6157,Longwood,2-15,A,USC Upstate,L
6158,Longwood,2-18,H,Radford,W
6159,Longwood,2-23,A,Gardner Webb,W
6160,Longwood,2-25,H,UNC Asheville,L
6161,Longwood,3-03,N,Campbell,L
6162,New Mexico St.,11-07,H,N.M. Highlands,W
6163,New Mexico St.,11-12,A,UTEP,L
6164,New Mexico St.,11-25,N,San Diego,W
6165,New Mexico St.,11-26,N,UC Irvine,L
6166,New Mexico St.,11-30,H,UTEP,W
6167,New Mexico St.,12-05,H,Simon Fraser,W
6168,New Mexico St.,12-07,A,Santa Clara,L
6169,New Mexico St.,12-11,A,Duquesne,W
6170,New Mexico St.,12-14,A,Saint Mary's,L
6171,New Mexico St.,12-18,H,Northern New Mexico,W
6172,New Mexico St.,12-21,N,Kent St.,L
6173,New Mexico St.,12-22,N,North Carolina A&T,W
6174,New Mexico St.,12-28,H,Southern Utah,L
6175,New Mexico St.,12-31,H,Sam Houston St.,L
6176,New Mexico St.,1-04,A,Stephen F. Austin,L
6177,New Mexico St.,1-07,H,Cal Baptist,L
6178,New Mexico St.,1-12,A,Seattle,L
6179,New Mexico St.,1-14,H,UT Arlington,L
6180,New Mexico St.,1-19,A,Southern Utah,L
6181,New Mexico St.,1-21,A,Utah Tech,L
6182,New Mexico St.,1-28,A,Utah Valley,L
6183,New Mexico St.,2-01,H,Stephen F. Austin,W
6184,New Mexico St.,2-04,H,Seattle,W
6185,New Mexico St.,2-08,A,Grand Canyon,L
6186,Lipscomb,11-09,A,South Dakota,L
6187,Lipscomb,11-12,H,Camp. Harrodsburg,W
6188,Lipscomb,11-14,H,Belmont,W
6189,Lipscomb,11-18,A,Notre Dame,L
6190,Lipscomb,11-21,H,Covenant,W
6191,Lipscomb,11-23,A,Chattanooga,W
6192,Lipscomb,11-30,H,Navy,W
6193,Lipscomb,12-05,H,Trevecca Nazarene,W
6194,Lipscomb,12-09,A,Alabama A&M,L
6195,Lipscomb,12-11,A,Tennessee St.,L
6196,Lipscomb,12-14,H,Tennessee Tech,W
6197,Lipscomb,12-17,A,Michigan,L
6198,Lipscomb,12-20,A,Louisville,W
6199,Lipscomb,12-30,H,Stetson,L
6200,Lipscomb,1-02,A,Liberty,L
6201,Lipscomb,1-05,H,North Alabama,W
6202,Lipscomb,1-07,A,Jacksonville,L
6203,Lipscomb,1-12,A,Austin Peay,W
6204,Lipscomb,1-14,H,Austin Peay,W
6205,Lipscomb,1-19,H,Eastern Kentucky,W
6206,Lipscomb,1-21,H,Bellarmine,W
6207,Lipscomb,1-26,A,Jacksonville St.,L
6208,Lipscomb,1-28,A,Kennesaw St.,L
6209,Lipscomb,2-02,H,Queens,W
6210,Lipscomb,2-04,H,Liberty,W
6211,Lipscomb,2-09,A,Central Arkansas,W
6212,Lipscomb,2-11,A,North Alabama,L
6213,Lipscomb,2-16,H,North Florida,L
6214,Lipscomb,2-18,H,Jacksonville,W
6215,Lipscomb,2-22,A,Florida Gulf Coast,W
6216,Lipscomb,2-24,A,Stetson,W
6217,Lipscomb,2-28,A,Stetson,W
6218,Lipscomb,3-02,A,Kennesaw St.,L
6219,Buffalo,11-07,H,Colgate,W
6220,Buffalo,11-12,H,James Madison,L
6221,Buffalo,11-15,A,Connecticut,L
6222,Buffalo,11-18,N,Drake,L
6223,Buffalo,11-19,N,Howard,L
6224,Buffalo,11-21,N,George Mason,W
6225,Buffalo,11-27,H,Canisius,W
6226,Buffalo,12-03,H,St. Bonaventure,W
6227,Buffalo,12-06,H,St. John Fisher,W
6228,Buffalo,12-10,N,Tulane,L
6229,Buffalo,12-18,A,West Virginia,L
6230,Buffalo,12-21,H,SUNY Canton,W
6231,Buffalo,12-30,A,Michigan St.,L
6232,Buffalo,1-03,H,Ohio,W
6233,Buffalo,1-07,H,Northern Illinois,W
6234,Buffalo,1-10,A,Miami OH,L
6235,Buffalo,1-14,A,Central Michigan,L
6236,Buffalo,1-17,H,Bowling Green,W
6237,Buffalo,1-20,H,Toledo,L
6238,Buffalo,1-24,A,Ball St.,W
6239,Buffalo,1-27,A,Kent St.,L
6240,Buffalo,1-31,H,Akron,L
6241,Buffalo,2-04,A,Western Michigan,W
6242,Buffalo,2-07,H,Eastern Michigan,W
6243,Buffalo,2-10,H,Kent St.,L
6244,Buffalo,2-14,A,Ohio,L
6245,Buffalo,2-18,A,Akron,L
6246,Buffalo,2-21,H,Central Michigan,W
6247,Buffalo,2-25,A,Toledo,L
6248,Buffalo,2-28,A,Northern Illinois,W
6249,Buffalo,3-03,H,Miami OH,W
6250,Buffalo,3-09,N,Akron,L
6251,UC Davis,11-07,A,California,W
6252,UC Davis,11-09,H,Cal Maritime,W
6253,UC Davis,11-12,A,Loyola Marymount,L
6254,UC Davis,11-18,H,Arkansas St.,W
6255,UC Davis,11-22,N,Sacramento St.,W
6256,UC Davis,11-26,A,Milwaukee,L
6257,UC Davis,11-27,N,Southeast Missouri St.,W
6258,UC Davis,11-28,N,Boston University,W
6259,UC Davis,12-01,H,Pacific,L
6260,UC Davis,12-13,H,Holy Names,W
6261,UC Davis,12-17,A,Eastern Washington,L
6262,UC Davis,12-21,A,UCLA,L
6263,UC Davis,12-29,A,Hawaii,L
6264,UC Davis,1-05,H,UC Irvine,L
6265,UC Davis,1-07,H,Cal St. Bakersfield,W
6266,UC Davis,1-11,A,Cal St. Northridge,W
6267,UC Davis,1-14,H,Cal St. Fullerton,W
6268,UC Davis,1-16,A,UC San Diego,W
6269,UC Davis,1-19,H,UC Riverside,L
6270,UC Davis,1-21,H,Cal Poly,W
6271,UC Davis,1-26,A,Cal St. Bakersfield,W
6272,UC Davis,1-28,A,Long Beach St.,L
6273,UC Davis,2-02,H,Hawaii,W
6274,UC Davis,2-09,A,UC Riverside,L
6275,UC Davis,2-11,A,UC Santa Barbara,L
6276,UC Davis,2-15,H,Cal St. Northridge,W
6277,UC Davis,2-18,A,UC Irvine,L
6278,UC Davis,2-20,H,UC San Diego,W
6279,UC Davis,2-25,A,Cal Poly,W
6280,UC Davis,3-02,H,UC Santa Barbara,L
6281,UC Davis,3-04,H,Long Beach St.,W
6282,UC Davis,3-09,N,UC Riverside,L
6283,Coastal Carolina,11-07,H,St. Mary's MD,W
6284,Coastal Carolina,11-11,H,Methodist,W
6285,Coastal Carolina,11-18,A,USC Upstate,L
6286,Coastal Carolina,11-23,A,Missouri,L
6287,Coastal Carolina,11-26,H,South Dakota,W
6288,Coastal Carolina,11-30,H,UNC Wilmington,L
6289,Coastal Carolina,12-03,A,Winthrop,W
6290,Coastal Carolina,12-06,A,Wofford,L
6291,Coastal Carolina,12-10,H,Regent,W
6292,Coastal Carolina,12-14,A,South Dakota,W
6293,Coastal Carolina,12-19,H,College of Charleston,L
6294,Coastal Carolina,12-29,H,Louisiana Lafayette,W
6295,Coastal Carolina,12-31,H,Georgia Southern,L
6296,Coastal Carolina,1-05,A,Appalachian St.,L
6297,Coastal Carolina,1-07,A,Marshall,L
6298,Coastal Carolina,1-12,A,Old Dominion,W
6299,Coastal Carolina,1-14,A,Georgia St.,L
6300,Coastal Carolina,1-19,H,Appalachian St.,W
6301,Coastal Carolina,1-21,H,South Alabama,W
6302,Coastal Carolina,1-23,H,Chicago St.,L
6303,Coastal Carolina,1-26,A,James Madison,L
6304,Coastal Carolina,1-28,H,Old Dominion,L
6305,Coastal Carolina,2-02,A,Louisiana Monroe,L
6306,Coastal Carolina,2-04,A,Arkansas St.,L
6307,Coastal Carolina,2-09,H,Marshall,L
6308,Coastal Carolina,2-11,H,James Madison,L
6309,Coastal Carolina,2-16,H,Georgia St.,W
6310,Coastal Carolina,2-18,H,Texas St.,L
6311,Coastal Carolina,2-22,A,Georgia Southern,L
6312,Coastal Carolina,2-24,A,Troy,L
6313,Coastal Carolina,2-28,N,Arkansas St.,L
6314,UNC Greensboro,11-07,H,JWU (Charlotte),W
6315,UNC Greensboro,11-11,A,Miami FL,L
6316,UNC Greensboro,11-17,H,Towson,L
6317,UNC Greensboro,11-22,H,UMBC,W
6318,UNC Greensboro,11-25,N,Montana St.,W
6319,UNC Greensboro,11-26,N,Hofstra,L
6320,UNC Greensboro,11-27,N,Stephen F. Austin,L
6321,UNC Greensboro,11-30,A,North Carolina A&T,L
6322,UNC Greensboro,12-03,A,Elon,W
6323,UNC Greensboro,12-06,A,Arkansas,L
6324,UNC Greensboro,12-13,H,Marshall,W
6325,UNC Greensboro,12-18,H,Warren Wilson,W
6326,UNC Greensboro,12-22,A,Eastern Kentucky,L
6327,UNC Greensboro,12-29,A,Western Carolina,W
6328,UNC Greensboro,12-31,A,Wofford,W
6329,UNC Greensboro,1-04,H,Chattanooga,W
6330,UNC Greensboro,1-07,H,Samford,L
6331,UNC Greensboro,1-11,A,VMI,W
6332,UNC Greensboro,1-14,A,Furman,W
6333,UNC Greensboro,1-19,H,The Citadel,W
6334,UNC Greensboro,1-21,H,Mercer,W
6335,UNC Greensboro,1-25,H,VMI,W
6336,UNC Greensboro,1-29,H,Furman,L
6337,UNC Greensboro,2-02,A,Mercer,W
6338,UNC Greensboro,2-04,A,The Citadel,W
6339,UNC Greensboro,2-07,H,East Tennessee St.,W
6340,UNC Greensboro,2-12,H,Wofford,W
6341,UNC Greensboro,2-15,A,Samford,L
6342,UNC Greensboro,2-18,A,Chattanooga,W
6343,UNC Greensboro,2-22,H,Western Carolina,W
6344,UNC Greensboro,2-25,A,East Tennessee St.,L
6345,UNC Greensboro,3-04,N,Wofford,L
6346,Fresno St.,11-07,H,Fresno Pacific,W
6347,Fresno St.,11-11,N,UC Santa Barbara,L
6348,Fresno St.,11-16,H,San Francisco,L
6349,Fresno St.,11-19,A,North Texas,L
6350,Fresno St.,11-23,N,Washington,L
6351,Fresno St.,11-24,N,Vanderbilt,L
6352,Fresno St.,12-03,A,UC Irvine,W
6353,Fresno St.,12-07,H,Cal St. Northridge,W
6354,Fresno St.,12-10,A,Pacific,L
6355,Fresno St.,12-17,H,Sacramento St.,L
6356,Fresno St.,12-20,A,Cal St. Bakersfield,W
6357,Fresno St.,12-28,H,Wyoming,W
6358,Fresno St.,12-31,A,Utah St.,L
6359,Fresno St.,1-03,H,New Mexico,W
6360,Fresno St.,1-07,A,Colorado St.,L
6361,Fresno St.,1-10,A,San Jose St.,L
6362,Fresno St.,1-14,H,Air Force,L
6363,Fresno St.,1-21,H,UNLV,W
6364,Fresno St.,1-24,A,Boise St.,L
6365,Fresno St.,1-28,H,Utah St.,L
6366,Fresno St.,1-31,A,Wyoming,L
6367,Fresno St.,2-03,A,UNLV,W
6368,Fresno St.,2-07,H,San Jose St.,W
6369,Fresno St.,2-10,A,Nevada,L
6370,Fresno St.,2-15,H,San Diego St.,L
6371,Fresno St.,2-18,H,Colorado St.,L
6372,Fresno St.,2-21,A,Air Force,W
6373,Fresno St.,2-24,H,Nevada,L
6374,Fresno St.,2-28,A,New Mexico,L
6375,Fresno St.,3-04,H,Chicago St.,W
6376,Fresno St.,3-08,N,Colorado St.,L
6377,SMU,11-07,H,Texas A&M Commerce,W
6378,SMU,11-11,A,Dayton,L
6379,SMU,11-15,H,New Mexico,L
6380,SMU,11-19,H,Evansville,W
6381,SMU,11-22,H,Louisiana Lafayette,L
6382,SMU,11-27,H,Lamar,W
6383,SMU,11-30,A,Texas A&M,L
6384,SMU,12-03,H,Jackson St.,L
6385,SMU,12-07,H,Arizona St.,L
6386,SMU,12-10,N,TCU,L
6387,SMU,12-22,N,Iona,W
6388,SMU,12-23,N,Utah St.,W
6389,SMU,12-25,A,Hawaii,L
6390,SMU,1-01,H,Tulsa,W
6391,SMU,1-05,A,Houston,L
6392,SMU,1-08,A,UCF,L
6393,SMU,1-11,H,Tulane,L
6394,SMU,1-14,H,Cincinnati,L
6395,SMU,1-18,A,Tulsa,W
6396,SMU,1-22,H,Wichita St.,L
6397,SMU,1-26,A,Memphis,L
6398,SMU,1-29,H,South Florida,W
6399,SMU,2-01,A,Tulane,L
6400,SMU,2-04,A,East Carolina,L
6401,SMU,2-08,H,Temple,W
6402,SMU,2-12,A,Wichita St.,L
6403,SMU,2-16,H,Houston,L
6404,SMU,2-19,H,East Carolina,W
6405,SMU,2-25,A,South Florida,L
6406,SMU,3-02,H,Memphis,L
6407,SMU,3-05,A,Cincinnati,L
6408,SMU,3-09,N,UCF,L
6409,Western Kentucky,11-10,A,Eastern Kentucky,W
6410,Western Kentucky,11-12,H,Kentucky St.,W
6411,Western Kentucky,11-15,H,UIndy,W
6412,Western Kentucky,11-21,N,Akron,L
6413,Western Kentucky,11-22,N,Illinois St.,W
6414,Western Kentucky,11-23,N,Tulane,W
6415,Western Kentucky,11-26,H,South Carolina St.,W
6416,Western Kentucky,11-30,A,Austin Peay,W
6417,Western Kentucky,12-10,H,Wright St.,W
6418,Western Kentucky,12-14,A,Louisville,L
6419,Western Kentucky,12-22,A,South Carolina,L
6420,Western Kentucky,12-29,H,Rice,L
6421,Western Kentucky,12-31,A,Middle Tennessee,L
6422,Western Kentucky,1-05,H,North Texas,L
6423,Western Kentucky,1-07,A,UTSA,W
6424,Western Kentucky,1-11,A,UAB,W
6425,Western Kentucky,1-14,H,FIU,W
6426,Western Kentucky,1-16,H,Florida Atlantic,L
6427,Western Kentucky,1-19,A,Louisiana Tech,L
6428,Western Kentucky,1-21,H,Charlotte,L
6429,Western Kentucky,1-26,A,FIU,L
6430,Western Kentucky,1-28,A,Florida Atlantic,L
6431,Western Kentucky,2-02,H,UTSA,W
6432,Western Kentucky,2-04,H,UTEP,W
6433,Western Kentucky,2-09,H,Middle Tennessee,W
6434,Western Kentucky,2-16,A,Charlotte,L
6435,Western Kentucky,2-18,A,Rice,L
6436,Western Kentucky,2-23,H,Louisiana Tech,W
6437,Western Kentucky,2-25,H,UAB,L
6438,Western Kentucky,3-02,A,UTEP,W
6439,Western Kentucky,3-04,A,North Texas,L
6440,Western Kentucky,3-08,N,UTEP,W
6441,Western Kentucky,3-09,N,Florida Atlantic,L
6442,Georgetown,11-08,H,Coppin St.,W
6443,Georgetown,11-12,H,Green Bay,W
6444,Georgetown,11-15,H,Northwestern,L
6445,Georgetown,11-18,N,Loyola Marymount,L
6446,Georgetown,11-20,N,La Salle,W
6447,Georgetown,11-23,H,American,L
6448,Georgetown,11-26,H,UMBC,W
6449,Georgetown,11-30,A,Texas Tech,L
6450,Georgetown,12-03,H,South Carolina,L
6451,Georgetown,12-07,H,Siena,W
6452,Georgetown,12-10,A,Syracuse,L
6453,Georgetown,12-16,H,Xavier,L
6454,Georgetown,12-20,A,Connecticut,L
6455,Georgetown,12-29,A,DePaul,L
6456,Georgetown,1-01,H,Butler,L
6457,Georgetown,1-04,H,Villanova,L
6458,Georgetown,1-07,A,Marquette,L
6459,Georgetown,1-10,H,Seton Hall,L
6460,Georgetown,1-16,A,Villanova,L
6461,Georgetown,1-21,A,Xavier,L
6462,Georgetown,1-24,H,DePaul,W
6463,Georgetown,1-29,A,St. John's,L
6464,Georgetown,2-01,H,Creighton,L
6465,Georgetown,2-04,H,Connecticut,L
6466,Georgetown,2-08,A,Providence,L
6467,Georgetown,2-11,H,Marquette,L
6468,Georgetown,2-14,A,Seton Hall,L
6469,Georgetown,2-19,A,Butler,W
6470,Georgetown,2-22,H,St. John's,L
6471,Georgetown,2-26,H,Providence,L
6472,Georgetown,3-01,A,Creighton,L
6473,Georgetown,3-08,N,Villanova,L
6474,North Dakota,11-07,A,Incarnate Word,W
6475,North Dakota,11-10,A,Creighton,L
6476,North Dakota,11-15,H,Pacific,L
6477,North Dakota,11-17,A,Elon,W
6478,North Dakota,11-20,H,Montana St.,L
6479,North Dakota,11-22,H,Wis.-Stout,W
6480,North Dakota,11-25,H,Utah Tech,W
6481,North Dakota,11-27,H,Cal St. Fullerton,W
6482,North Dakota,11-30,A,Iowa St.,L
6483,North Dakota,12-03,A,Portland,L
6484,North Dakota,12-06,A,Idaho,L
6485,North Dakota,12-10,H,Seattle,L
6486,North Dakota,12-12,H,North Central (MN),W
6487,North Dakota,12-19,A,St. Thomas,L
6488,North Dakota,12-30,H,North Dakota St.,L
6489,North Dakota,1-05,H,South Dakota,L
6490,North Dakota,1-07,H,South Dakota St.,L
6491,North Dakota,1-12,A,Nebraska Omaha,L
6492,North Dakota,1-14,A,Denver,L
6493,North Dakota,1-19,H,UMKC,W
6494,North Dakota,1-21,H,Oral Roberts,L
6495,North Dakota,1-23,A,Western Illinois,L
6496,North Dakota,1-27,A,North Dakota St.,L
6497,North Dakota,2-02,A,South Dakota St.,L
6498,North Dakota,2-04,A,South Dakota,W
6499,North Dakota,2-09,H,Denver,W
6500,North Dakota,2-11,H,Nebraska Omaha,W
6501,North Dakota,2-16,A,Oral Roberts,L
6502,North Dakota,2-18,A,UMKC,W
6503,North Dakota,2-23,H,Western Illinois,L
6504,North Dakota,2-25,H,St. Thomas,W
6505,North Dakota,3-03,N,Denver,W
6506,North Dakota,3-04,N,Oral Roberts,L
6507,Eastern Kentucky,11-07,H,Miami-Middletown,W
6508,Eastern Kentucky,11-10,H,Western Kentucky,L
6509,Eastern Kentucky,11-13,A,Cincinnati,L
6510,Eastern Kentucky,11-18,A,Georgia St.,W
6511,Eastern Kentucky,11-19,N,UNC Asheville,W
6512,Eastern Kentucky,11-20,N,Texas A&M Commerce,L
6513,Eastern Kentucky,11-23,H,Brescia,W
6514,Eastern Kentucky,12-02,A,James Madison,L
6515,Eastern Kentucky,12-07,A,Tennessee,L
6516,Eastern Kentucky,12-10,H,Boyce,W
6517,Eastern Kentucky,12-14,A,Northern Kentucky,L
6518,Eastern Kentucky,12-17,H,Radford,W
6519,Eastern Kentucky,12-22,H,UNC Greensboro,W
6520,Eastern Kentucky,12-31,H,Queens,W
6521,Eastern Kentucky,1-02,A,Kennesaw St.,L
6522,Eastern Kentucky,1-05,A,Central Arkansas,W
6523,Eastern Kentucky,1-08,H,Liberty,W
6524,Eastern Kentucky,1-12,H,Florida Gulf Coast,W
6525,Eastern Kentucky,1-14,H,Stetson,W
6526,Eastern Kentucky,1-19,A,Lipscomb,L
6527,Eastern Kentucky,1-21,A,Austin Peay,W
6528,Eastern Kentucky,1-26,A,Bellarmine,L
6529,Eastern Kentucky,1-28,H,Bellarmine,W
6530,Eastern Kentucky,2-02,H,Jacksonville St.,W
6531,Eastern Kentucky,2-04,H,Kennesaw St.,W
6532,Eastern Kentucky,2-09,A,Queens,W
6533,Eastern Kentucky,2-11,A,Liberty,L
6534,Eastern Kentucky,2-16,H,Central Arkansas,W
6535,Eastern Kentucky,2-18,H,North Alabama,L
6536,Eastern Kentucky,2-22,A,North Florida,L
6537,Eastern Kentucky,2-24,A,Jacksonville,W
6538,Eastern Kentucky,2-28,H,North Alabama,W
6539,Eastern Kentucky,3-02,A,Liberty,L
6540,UC San Diego,11-07,H,Seattle,L
6541,UC San Diego,11-12,H,Sacramento St.,L
6542,UC San Diego,11-15,H,California,W
6543,UC San Diego,11-18,A,Navy,L
6544,UC San Diego,11-19,N,Youngstown St.,L
6545,UC San Diego,11-22,A,George Washington,W
6546,UC San Diego,11-27,A,Eastern Michigan,W
6547,UC San Diego,12-02,H,Bethesda (CA),W
6548,UC San Diego,12-12,A,San Diego,L
6549,UC San Diego,12-14,A,Nevada,L
6550,UC San Diego,12-17,H,Occidental,W
6551,UC San Diego,12-20,A,San Diego St.,L
6552,UC San Diego,12-29,A,Long Beach St.,W
6553,UC San Diego,12-31,A,UC Santa Barbara,L
6554,UC San Diego,1-05,H,Hawaii,L
6555,UC San Diego,1-11,H,UC Riverside,L
6556,UC San Diego,1-14,A,Cal St. Bakersfield,L
6557,UC San Diego,1-16,H,UC Davis,L
6558,UC San Diego,1-19,A,Cal Poly,W
6559,UC San Diego,1-21,H,Long Beach St.,L
6560,UC San Diego,1-26,A,Cal St. Northridge,W
6561,UC San Diego,1-28,A,UC Riverside,L
6562,UC San Diego,2-02,H,UC Irvine,L
6563,UC San Diego,2-04,H,Cal St. Bakersfield,L
6564,UC San Diego,2-09,A,Hawaii,L
6565,UC San Diego,2-15,H,Cal St. Fullerton,L
6566,UC San Diego,2-18,H,Cal St. Northridge,W
6567,UC San Diego,2-20,A,UC Davis,L
6568,UC San Diego,2-23,A,UC Irvine,W
6569,UC San Diego,2-25,H,UC Santa Barbara,L
6570,North Dakota St.,11-07,A,Arkansas,L
6571,North Dakota St.,11-10,A,Kansas,L
6572,North Dakota St.,11-13,H,Pacific,L
6573,North Dakota St.,11-17,A,Indiana St.,L
6574,North Dakota St.,11-20,H,Crown MN,W
6575,North Dakota St.,11-25,N,Northern Colorado,L
6576,North Dakota St.,11-26,A,New Mexico,L
6577,North Dakota St.,11-27,N,Jacksonville St.,L
6578,North Dakota St.,12-03,A,Eastern Washington,L
6579,North Dakota St.,12-05,A,Portland,W
6580,North Dakota St.,12-10,H,Montana,L
6581,North Dakota St.,12-11,H,Waldorf,W
6582,North Dakota St.,12-19,A,Western Illinois,L
6583,North Dakota St.,12-21,A,St. Thomas,L
6584,North Dakota St.,12-30,A,North Dakota,W
6585,North Dakota St.,1-05,H,South Dakota St.,W
6586,North Dakota St.,1-07,H,South Dakota,W
6587,North Dakota St.,1-12,A,Denver,W
6588,North Dakota St.,1-14,A,Nebraska Omaha,W
6589,North Dakota St.,1-19,H,Oral Roberts,L
6590,North Dakota St.,1-21,H,UMKC,L
6591,North Dakota St.,1-27,H,North Dakota,W
6592,North Dakota St.,2-02,A,South Dakota,L
6593,North Dakota St.,2-04,A,South Dakota St.,L
6594,North Dakota St.,2-09,H,Nebraska Omaha,W
6595,North Dakota St.,2-11,H,Denver,W
6596,North Dakota St.,2-16,A,UMKC,W
6597,North Dakota St.,2-18,A,Oral Roberts,L
6598,North Dakota St.,2-23,H,St. Thomas,W
6599,North Dakota St.,2-25,H,Western Illinois,W
6600,North Dakota St.,3-05,N,South Dakota,W
6601,North Dakota St.,3-06,N,South Dakota St.,W
6602,North Dakota St.,3-07,N,Oral Roberts,L
6603,Bryant,11-07,H,Thomas (ME),W
6604,Bryant,11-11,A,Dartmouth,W
6605,Bryant,11-17,A,Florida Atlantic,L
6606,Bryant,11-19,A,FIU,W
6607,Bryant,11-21,N,Detroit,W
6608,Bryant,11-26,A,Syracuse,W
6609,Bryant,11-28,H,Framingham St.,W
6610,Bryant,12-02,H,Brown,L
6611,Bryant,12-04,A,Cincinnati,L
6612,Bryant,12-09,H,Stony Brook,W
6613,Bryant,12-11,A,Manhattan,W
6614,Bryant,12-17,N,Liberty,L
6615,Bryant,12-22,H,Towson,W
6616,Bryant,12-31,H,Binghamton,W
6617,Bryant,1-05,A,Vermont,L
6618,Bryant,1-08,H,UMBC,L
6619,Bryant,1-11,H,Albany,W
6620,Bryant,1-14,A,New Hampshire,W
6621,Bryant,1-19,H,NJIT,W
6622,Bryant,1-22,A,UMass Lowell,L
6623,Bryant,1-28,A,Binghamton,L
6624,Bryant,2-01,H,Maine,W
