,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
215,Northern Illinois,13,4,9,.308,-10.24,-0.15,,0,0,,1,2,,2,6,,900,991,,520,332,752,.441,89,277,.321,147,216,.681,120,443,143,83,37,206,244
216,Northern Iowa,14,6,8,.429,-0.80,-0.41,,2,2,,4,4,,1,2,,975,924,,560,353,776,.455,100,303,.330,169,254,.665,120,469,158,100,23,181,206
217,Northern Kentucky,15,9,6,.600,-2.51,0.34,,4,0,,8,1,,1,2,,995,952,,620,361,850,.425,108,320,.338,165,258,.640,172,501,199,141,38,190,228
218,Northwestern,13,10,3,.769,12.39,2.08,,1,1,,7,2,,2,0,,875,741,,520,298,777,.384,105,340,.309,174,232,.750,156,510,179,108,65,149,204
219,Northwestern State,14,8,6,.571,-3.78,0.07,,0,1,,3,2,,4,4,,981,1020,,565,357,911,.392,127,370,.343,140,207,.676,193,470,150,124,32,155,265
220,Notre Dame,14,8,6,.571,3.15,1.44,,0,3,,8,3,,0,1,,982,958,,560,358,772,.464,123,324,.380,143,179,.799,89,432,169,60,47,135,166
221,Oakland,15,4,11,.267,-8.47,1.03,,2,2,,4,2,,0,6,,1097,1165,,610,395,916,.431,119,384,.310,188,259,.726,127,471,187,100,38,157,205
222,Ohio,13,8,5,.615,0.93,-1.24,,0,0,,6,0,,2,4,,1007,912,,525,378,817,.463,108,300,.360,143,200,.715,159,510,190,89,36,150,210
223,Ohio State,13,10,3,.769,20.61,4.07,,2,0,,7,0,,1,1,,1053,838,,525,393,799,.492,99,264,.375,168,230,.730,164,532,188,62,55,151,192
224,Oklahoma,13,9,4,.692,13.38,5.76,,0,1,,5,2,,0,1,,897,798,,520,333,662,.503,93,236,.394,138,193,.715,79,411,184,74,37,164,182
225,Oklahoma State,14,9,5,.643,14.69,5.62,,1,1,,6,1,,1,2,,994,867,,565,356,788,.452,101,300,.337,181,250,.724,155,536,191,90,71,208,237
