School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,3PAr,AST%,BLK%,FT/FGA,FTr,ORB%,ORtg,Pace,STL%,TOV%,TRB%,TS%,eFG%
Connecticut,25,19,6,0.76,21.18,6.62,8.0,6.0,12,2,4,4,1990,1626,1000,692,1508,0.459,229,632,0.362,377,506,0.745,329,979,438,168,121,317,474,0.419,63.3,12.6,0.25,0.336,37.9,114.6,69.5,9.7,15.3,56.2,0.569,0.535
Coppin State,24,6,18,0.25,-13.78,-1.49,1.0,6.0,4,4,2,14,1757,2052,980,595,1381,0.431,211,627,0.337,356,491,0.725,153,738,262,194,69,353,481,0.454,44.0,7.5,0.258,0.356,17.9,96.9,74.0,10.7,17.9,41.7,0.544,0.507
Cornell,22,15,7,0.682,3.38,-2.72,5.0,4.0,9,1,6,6,1865,1664,880,674,1393,0.484,250,681,0.367,267,365,0.732,234,764,414,214,53,264,350,0.489,61.4,6.6,0.192,0.262,30.6,116.2,73.0,13.3,14.4,50.0,0.595,0.574
Creighton,24,16,8,0.667,18.55,8.85,10.0,3.0,11,1,3,4,1842,1609,960,670,1417,0.473,208,587,0.354,294,396,0.742,208,902,384,128,111,275,308,0.414,57.3,10.4,0.207,0.279,26.1,109.9,69.8,7.6,14.6,53.3,0.574,0.546
Dartmouth,23,8,15,0.348,-8.36,-2.36,4.0,5.0,5,5,3,8,1601,1614,930,580,1337,0.434,182,561,0.324,259,382,0.678,196,813,280,129,95,327,384,0.42,48.3,10.5,0.194,0.286,24.0,97.6,70.5,7.9,17.7,49.5,0.527,0.502
Davidson,23,11,12,0.478,2.21,1.71,4.0,7.0,5,6,4,5,1623,1589,935,576,1288,0.447,155,471,0.329,316,429,0.737,194,762,305,129,34,265,360,0.366,53.0,3.9,0.245,0.333,25.2,104.0,66.8,8.3,15.1,48.3,0.544,0.507
Dayton,25,16,9,0.64,8.88,1.2,8.0,4.0,12,1,3,5,1726,1534,1010,616,1315,0.468,161,481,0.335,333,478,0.697,237,926,374,126,122,328,346,0.366,60.7,13.7,0.253,0.363,30.9,105.6,64.7,7.7,17.5,54.3,0.56,0.53
Delaware,26,12,14,0.462,-4.63,-2.59,4.0,9.0,8,5,2,9,1800,1827,1045,641,1457,0.44,164,522,0.314,354,489,0.724,229,855,320,180,110,306,436,0.358,49.9,11.2,0.243,0.336,25.7,102.0,67.5,10.2,15.3,47.8,0.533,0.496
Delaware State,22,5,17,0.227,-16.25,-3.3,3.0,4.0,3,4,2,12,1402,1630,885,524,1254,0.418,126,390,0.323,228,332,0.687,237,752,272,150,63,345,401,0.311,51.9,9.3,0.182,0.265,30.3,92.3,68.6,9.9,19.6,49.6,0.497,0.468
Denver,26,13,13,0.5,-8.42,-4.75,4.0,9.0,7,4,4,9,1891,1946,1060,675,1388,0.486,113,343,0.329,428,609,0.703,247,926,290,135,83,392,432,0.247,43.0,8.7,0.308,0.439,31.0,103.7,68.8,7.4,18.9,53.6,0.564,0.527
DePaul,25,9,16,0.36,2.49,7.49,3.0,11.0,7,5,2,9,1777,1902,1010,625,1476,0.423,208,587,0.354,319,425,0.751,232,809,338,160,100,318,464,0.398,54.1,10.4,0.216,0.288,25.8,100.8,69.8,9.1,15.9,45.7,0.53,0.494
Detroit Mercy,25,10,15,0.4,-2.63,-1.96,6.0,8.0,7,3,3,11,1903,1891,1010,668,1531,0.436,257,660,0.389,310,412,0.752,305,898,311,148,45,292,393,0.431,46.6,4.9,0.202,0.269,33.6,111.0,67.9,8.6,14.5,51.0,0.551,0.52
Drake,26,20,6,0.769,6.36,-1.52,11.0,4.0,11,1,5,5,1968,1695,1070,709,1530,0.463,208,568,0.366,342,443,0.772,222,947,357,137,67,283,391,0.371,50.4,7.4,0.224,0.29,25.5,109.1,67.4,7.6,14.0,52.5,0.565,0.531
Drexel,25,14,11,0.56,-2.06,-4.89,8.0,5.0,10,2,3,7,1660,1552,1010,610,1424,0.428,188,589,0.319,252,374,0.674,264,874,304,147,79,283,355,0.414,49.8,8.1,0.177,0.263,30.4,102.3,64.2,9.1,15.0,51.4,0.518,0.494
Duke,23,17,6,0.739,14.56,6.77,8.0,5.0,12,0,2,5,1667,1458,920,598,1364,0.438,156,478,0.326,315,413,0.763,308,919,334,130,111,280,357,0.35,55.9,13.0,0.231,0.303,38.0,109.0,66.5,8.5,15.2,56.3,0.534,0.496
Duquesne,24,16,8,0.667,5.51,0.05,6.0,5.0,13,3,2,5,1801,1670,962,660,1503,0.439,217,583,0.372,264,384,0.688,308,886,372,191,99,284,441,0.388,56.4,11.0,0.176,0.255,34.4,108.6,68.9,11.5,14.4,50.2,0.534,0.511
East Carolina,24,12,12,0.5,-1.62,-1.04,3.0,8.0,8,5,1,6,1669,1683,960,564,1381,0.408,187,590,0.317,354,508,0.697,296,888,321,157,62,315,431,0.427,56.9,6.8,0.256,0.368,33.8,101.6,68.5,9.6,16.3,52.1,0.514,0.476
East Tennessee State,26,9,17,0.346,-5.72,-3.97,5.0,8.0,4,9,4,7,1799,1791,1045,676,1490,0.454,161,514,0.313,286,434,0.659,282,929,324,165,79,354,411,0.345,47.9,9.2,0.192,0.291,31.6,102.1,67.5,9.4,17.3,51.6,0.53,0.508
Eastern Illinois,25,7,18,0.28,-13.94,-5.55,3.0,9.0,5,7,2,10,1703,1784,1000,632,1458,0.433,128,411,0.311,311,498,0.624,249,853,350,216,83,335,463,0.282,55.4,10.1,0.213,0.342,27.0,96.1,70.9,12.2,16.5,46.9,0.502,0.477
Eastern Kentucky,25,16,9,0.64,-2.36,-1.18,9.0,3.0,12,1,3,7,1963,1805,1000,725,1654,0.438,234,660,0.355,279,423,0.66,331,987,392,213,117,302,406,0.399,54.1,12.6,0.169,0.256,33.3,107.6,73.0,11.7,14.0,51.1,0.529,0.509
Eastern Michigan,24,6,18,0.25,-9.91,-1.69,3.0,8.0,4,5,2,10,1796,1976,970,642,1436,0.447,163,491,0.332,349,459,0.76,207,755,245,156,50,279,473,0.342,38.2,6.1,0.243,0.32,24.7,104.1,71.1,9.0,14.4,46.1,0.543,0.504
Eastern Washington,25,18,7,0.72,1.39,-1.82,12.0,0.0,9,1,7,5,1926,1773,1000,692,1403,0.493,214,605,0.354,328,431,0.761,225,908,384,137,75,346,446,0.431,55.5,9.1,0.234,0.307,29.5,111.1,69.3,7.9,17.7,53.9,0.599,0.569
Elon,25,5,20,0.2,-11.49,-2.76,3.0,9.0,3,7,2,11,1652,1796,1000,596,1421,0.419,177,581,0.305,283,391,0.724,226,845,317,163,49,313,413,0.409,53.2,6.1,0.199,0.275,25.9,97.5,67.8,9.6,16.3,48.2,0.514,0.482
Evansville,26,5,21,0.192,-13.2,-1.01,1.0,14.0,3,8,1,11,1629,1946,1040,594,1482,0.401,163,503,0.324,278,451,0.616,208,839,273,175,48,324,425,0.339,46.0,5.6,0.188,0.304,21.2,89.9,69.7,9.7,16.0,46.1,0.48,0.456
Fairfield,23,10,13,0.435,-5.56,-3.02,6.0,7.0,5,5,3,7,1474,1489,930,506,1262,0.401,126,473,0.266,336,474,0.709,243,799,218,130,90,269,346,0.375,43.1,9.9,0.266,0.376,29.8,97.4,65.1,8.6,15.3,49.5,0.496,0.451
Fairleigh Dickinson,25,14,11,0.56,-11.11,-9.76,7.0,3.0,7,4,6,6,1964,1906,1010,716,1583,0.452,217,628,0.346,315,417,0.755,289,845,375,211,45,292,470,0.397,52.4,5.5,0.199,0.263,31.7,109.9,70.8,11.8,14.1,49.8,0.551,0.521
Florida,24,13,11,0.542,13.14,8.14,6.0,5.0,8,3,3,5,1708,1588,960,593,1378,0.43,160,496,0.323,362,489,0.74,206,865,297,156,142,275,388,0.36,50.1,14.2,0.263,0.355,24.3,101.7,70.0,9.3,14.6,48.8,0.53,0.488
Florida A&M,21,5,16,0.238,-17.82,-2.47,3.0,8.0,4,3,1,14,1213,1474,845,432,1116,0.387,121,376,0.322,228,340,0.671,215,677,201,135,69,344,399,0.337,46.5,9.3,0.204,0.305,29.5,86.5,66.3,9.6,21.2,47.0,0.475,0.441
Florida Atlantic,24,22,2,0.917,12.26,0.71,12.0,1.0,13,0,9,2,1848,1536,965,664,1429,0.465,232,634,0.366,288,409,0.704,260,934,359,162,57,284,383,0.444,54.1,6.2,0.202,0.286,31.2,112.1,68.4,9.8,14.9,54.2,0.569,0.546
Florida Gulf Coast,25,14,11,0.56,-2.18,-2.39,4.0,8.0,7,3,4,8,1786,1737,1010,628,1453,0.432,233,656,0.355,297,402,0.739,268,898,325,170,86,300,389,0.451,51.8,10.2,0.204,0.277,30.3,106.3,66.5,10.1,15.4,50.6,0.543,0.512
Florida International,24,12,12,0.5,-2.67,0.46,6.0,7.0,10,4,2,8,1722,1765,970,647,1388,0.466,166,521,0.319,262,380,0.689,202,765,301,216,96,359,393,0.375,46.5,11.3,0.189,0.274,25.1,100.0,71.0,12.5,18.6,46.0,0.549,0.526
Florida State,25,8,17,0.32,0.67,5.99,6.0,8.0,5,8,3,5,1750,1883,1000,630,1433,0.44,168,493,0.341,322,444,0.725,216,793,355,148,103,308,406,0.344,56.3,11.5,0.225,0.31,25.9,101.2,69.2,8.6,15.8,47.0,0.532,0.498
Fordham,24,19,5,0.792,2.55,-2.57,7.0,4.0,15,2,4,3,1737,1614,965,582,1374,0.424,180,567,0.317,393,519,0.757,249,882,309,186,122,324,452,0.413,53.1,13.0,0.286,0.378,29.2,102.4,70.3,11.0,16.7,51.8,0.536,0.489
Fresno State,23,9,14,0.391,1.26,4.9,5.0,7.0,6,4,3,7,1425,1492,920,517,1213,0.426,144,475,0.303,247,331,0.746,182,701,266,142,76,274,373,0.392,51.5,10.3,0.204,0.273,24.7,97.2,63.7,9.7,16.7,47.5,0.52,0.486
