School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,3PAr,AST%,BLK%,FT/FGA,FTr,ORB%,ORtg,Pace,STL%,TOV%,TRB%,TS%,eFG%
St. John's (NY),25,14,11,0.56,7.48,5.16,4.0,10.0,10,4,1,7,1915,1857,1005,739,1625,0.455,148,441,0.336,289,432,0.669,318,982,381,214,91,336,407,0.271,51.6,9.9,0.178,0.266,33.2,103.5,73.6,11.6,15.5,52.7,0.523,0.5
St. Thomas,26,16,10,0.615,-3.49,-4.61,7.0,6.0,10,1,4,9,1934,1824,1040,664,1464,0.454,227,633,0.359,379,480,0.79,212,810,334,157,58,263,444,0.432,50.3,6.3,0.259,0.328,25.0,111.7,66.6,9.1,13.5,48.1,0.572,0.531
Stanford,23,10,13,0.435,8.14,5.83,4.0,8.0,7,4,1,5,1577,1524,920,564,1281,0.44,171,522,0.328,278,390,0.713,247,803,315,136,84,295,380,0.407,55.9,11.2,0.217,0.304,31.8,104.0,65.9,9.0,16.7,52.8,0.538,0.507
Stephen F. Austin,24,15,9,0.625,2.35,-0.41,7.0,4.0,10,2,4,4,1835,1629,965,658,1369,0.481,156,396,0.394,363,499,0.727,256,809,371,227,58,375,503,0.289,56.4,7.3,0.265,0.364,32.7,106.5,71.4,13.2,18.9,51.0,0.571,0.538
Stetson,23,13,10,0.565,-2.13,-1.94,8.0,4.0,7,1,5,8,1747,1653,940,636,1372,0.464,240,608,0.395,235,315,0.746,242,787,331,126,79,251,362,0.443,52.0,9.4,0.171,0.23,31.2,114.0,65.2,8.2,14.2,50.4,0.574,0.551
Stonehill,26,12,14,0.462,-12.0,-6.92,8.0,3.0,5,4,6,9,1762,1842,1040,609,1364,0.446,209,578,0.362,335,443,0.756,151,786,326,184,72,356,402,0.424,53.5,7.8,0.246,0.325,18.6,98.6,68.7,10.3,18.4,45.3,0.56,0.523
Stony Brook,25,8,17,0.32,-12.86,-3.95,4.0,8.0,5,6,3,10,1569,1712,1000,538,1309,0.411,200,618,0.324,293,396,0.74,189,832,292,106,59,299,367,0.472,54.3,7.1,0.224,0.303,22.9,97.6,64.3,6.6,16.6,49.0,0.524,0.487
Syracuse,25,15,10,0.6,7.6,3.32,8.0,6.0,9,5,5,4,1865,1758,1010,691,1469,0.47,155,433,0.358,328,444,0.739,254,884,372,190,135,293,345,0.295,53.8,16.5,0.223,0.302,30.5,108.4,68.1,11.0,14.9,49.7,0.555,0.523
Tarleton State,23,12,11,0.522,-1.12,1.79,6.0,5.0,10,1,1,9,1637,1556,920,574,1262,0.455,105,312,0.337,384,572,0.671,233,748,282,210,63,282,461,0.247,49.1,9.5,0.304,0.453,29.6,103.3,68.9,13.3,15.5,49.1,0.534,0.496
TCU,24,17,7,0.708,16.5,6.54,6.0,5.0,11,2,2,5,1838,1599,965,672,1460,0.46,123,429,0.287,371,518,0.716,276,868,389,210,118,292,381,0.294,57.9,12.6,0.254,0.355,32.7,106.6,71.5,12.2,14.6,50.9,0.539,0.502
Temple,25,14,11,0.56,5.58,5.02,8.0,4.0,7,6,6,3,1733,1719,1020,579,1378,0.42,195,606,0.322,380,496,0.766,249,897,338,124,105,352,429,0.44,58.4,10.5,0.276,0.36,29.1,100.9,67.3,7.2,17.9,50.4,0.537,0.491
Tennessee,24,19,5,0.792,23.29,6.33,8.0,3.0,11,1,4,3,1728,1321,965,615,1425,0.432,182,561,0.324,316,433,0.73,326,961,403,214,94,303,399,0.394,65.5,12.8,0.222,0.304,38.0,107.0,66.9,13.3,15.7,55.5,0.53,0.495
Tennessee State,25,14,11,0.56,-10.14,-8.85,6.0,6.0,10,3,3,7,1931,1858,1001,669,1491,0.449,221,625,0.354,372,530,0.702,253,898,340,145,85,315,484,0.419,50.8,9.4,0.249,0.355,28.0,107.1,72.1,8.0,15.3,50.5,0.554,0.523
Tennessee Tech,25,11,14,0.44,-9.68,-4.59,7.0,5.0,9,4,2,10,1810,1820,1030,649,1490,0.436,219,612,0.358,293,413,0.709,237,877,366,175,55,327,386,0.411,56.4,6.0,0.197,0.277,26.3,101.6,69.2,9.8,16.2,48.5,0.537,0.509
Tennessee-Martin,25,15,10,0.6,-8.16,-6.78,7.0,5.0,12,1,3,9,2025,1863,1015,719,1580,0.455,202,609,0.332,385,541,0.712,276,992,353,207,86,301,457,0.385,49.1,9.0,0.244,0.342,29.7,108.3,73.7,11.1,14.1,51.4,0.551,0.519
Texas,23,19,4,0.826,19.92,8.96,8.0,3.0,13,1,4,3,1826,1555,930,667,1390,0.48,161,487,0.331,331,442,0.749,233,806,381,183,92,279,415,0.35,57.1,11.4,0.238,0.318,29.7,111.2,70.6,11.1,14.8,50.9,0.571,0.538
Texas A&M,24,17,7,0.708,13.3,4.93,9.0,2.0,12,1,4,3,1802,1601,960,602,1346,0.447,148,464,0.319,450,606,0.743,303,901,325,173,60,294,455,0.345,54.0,8.3,0.334,0.45,37.4,110.5,68.0,10.6,15.3,54.3,0.551,0.502
Texas A&M-Commerce,24,11,13,0.458,-10.59,-7.12,8.0,4.0,7,2,5,10,1665,1697,975,606,1375,0.441,205,663,0.309,248,361,0.687,220,789,343,144,72,307,448,0.482,56.6,8.9,0.18,0.263,26.9,102.2,66.8,8.8,16.6,49.2,0.538,0.515
Texas A&M-Corpus Christi,24,15,9,0.625,-2.84,-6.14,8.0,3.0,10,1,4,7,1935,1765,965,678,1498,0.453,197,542,0.363,382,492,0.776,294,885,378,223,37,320,467,0.362,55.8,4.9,0.255,0.328,33.7,110.3,72.7,12.7,15.6,52.5,0.559,0.518
Texas Southern,23,7,16,0.304,-10.35,-2.17,4.0,7.0,5,6,2,9,1598,1699,950,594,1405,0.423,103,386,0.267,307,477,0.644,275,880,266,153,88,345,424,0.275,44.8,9.9,0.219,0.34,30.9,94.2,71.5,9.0,17.5,50.8,0.49,0.459
Texas State,25,11,14,0.44,-3.04,-0.22,4.0,8.0,3,7,6,6,1611,1646,1000,586,1373,0.427,105,352,0.298,334,475,0.703,266,827,241,165,80,305,460,0.256,41.1,9.6,0.243,0.346,31.6,98.2,65.6,10.1,16.0,51.3,0.504,0.465
Texas Tech,24,12,12,0.5,12.06,6.6,1.0,10.0,9,4,1,6,1775,1644,970,625,1352,0.462,173,512,0.338,352,497,0.708,250,834,324,189,72,336,373,0.379,51.8,9.0,0.26,0.368,31.8,105.9,69.1,11.3,17.5,51.3,0.559,0.526
Texas-Rio Grande Valley,24,12,12,0.5,-6.51,-0.51,3.0,8.0,10,3,2,9,1878,1870,965,638,1352,0.472,161,455,0.354,441,626,0.704,250,906,368,118,85,405,469,0.337,57.7,9.2,0.326,0.463,30.6,104.3,74.6,6.6,19.7,52.7,0.569,0.531
The Citadel,26,9,17,0.346,-11.7,-3.78,4.0,9.0,4,8,4,8,1790,1945,1040,636,1469,0.433,198,590,0.336,320,421,0.76,187,844,319,139,61,317,444,0.402,50.2,6.8,0.218,0.287,21.3,99.8,69.0,7.7,16.0,46.4,0.536,0.5
Toledo,25,19,6,0.76,5.35,-1.82,9.0,2.0,10,1,6,3,2130,1943,1000,760,1551,0.49,212,550,0.385,398,531,0.75,263,876,380,176,73,260,411,0.355,50.0,7.6,0.257,0.342,30.7,118.1,72.1,9.8,12.6,50.3,0.591,0.558
Towson,25,17,8,0.68,-0.33,-5.25,9.0,3.0,8,2,7,4,1764,1641,1010,640,1450,0.441,177,492,0.36,307,432,0.711,315,924,349,155,88,295,389,0.339,54.5,10.9,0.212,0.298,36.1,108.1,64.6,9.5,15.1,54.0,0.533,0.502
Troy,25,14,11,0.56,1.06,-0.71,6.0,6.0,8,3,5,7,1816,1646,1005,648,1467,0.442,193,601,0.321,327,460,0.711,273,854,353,210,68,333,438,0.41,54.5,7.7,0.223,0.314,31.2,104.5,69.1,12.1,16.5,50.1,0.539,0.507
Tulane,23,16,7,0.696,8.54,2.02,9.0,3.0,10,2,4,2,1891,1741,940,653,1392,0.469,175,524,0.334,410,513,0.799,152,768,365,211,90,258,370,0.376,55.9,10.8,0.295,0.369,19.1,108.6,74.1,12.1,13.6,46.2,0.578,0.532
Tulsa,23,5,18,0.217,-5.38,3.97,1.0,11.0,4,7,0,9,1557,1772,930,577,1368,0.422,181,578,0.313,222,340,0.653,207,745,279,127,38,303,370,0.423,48.4,4.3,0.162,0.249,24.6,96.1,69.7,7.8,16.5,45.0,0.509,0.488
UAB,25,17,8,0.68,9.18,0.73,8.0,5.0,13,2,2,4,2051,1791,1020,714,1577,0.453,166,480,0.346,457,617,0.741,353,1042,389,210,110,341,445,0.304,54.5,11.4,0.29,0.391,37.3,110.6,72.7,11.3,15.4,54.6,0.548,0.505
UC Davis,23,14,9,0.609,1.15,-1.38,7.0,4.0,7,3,4,6,1739,1611,925,603,1303,0.463,160,452,0.354,373,551,0.677,278,854,304,159,64,349,432,0.347,50.4,6.9,0.286,0.423,35.5,105.9,71.0,9.7,18.2,54.1,0.556,0.524
UC Irvine,23,15,8,0.652,5.95,0.18,8.0,3.0,7,3,6,5,1774,1545,925,660,1387,0.476,168,439,0.383,286,403,0.71,233,860,343,168,60,286,446,0.317,52.0,7.1,0.206,0.291,29.8,108.4,70.8,10.3,15.3,53.2,0.562,0.536
UC Riverside,24,15,9,0.625,-0.07,-0.07,8.0,4.0,6,3,6,6,1722,1646,975,630,1436,0.439,199,552,0.361,263,378,0.696,270,903,316,116,41,302,442,0.384,50.2,4.5,0.183,0.263,31.4,104.6,67.5,7.0,15.7,54.1,0.533,0.508
UC San Diego,24,8,16,0.333,-7.46,-0.28,3.0,9.0,3,8,5,7,1611,1728,990,583,1375,0.424,171,543,0.315,274,380,0.721,207,808,282,145,56,296,380,0.395,48.4,6.0,0.199,0.276,24.2,97.8,66.5,8.8,16.0,47.4,0.518,0.486
UC Santa Barbara,22,18,4,0.818,3.52,-3.88,9.0,2.0,9,1,7,3,1550,1373,885,570,1170,0.487,121,359,0.337,289,411,0.703,203,750,304,152,59,277,350,0.307,53.3,7.3,0.247,0.351,30.5,107.3,65.3,10.5,16.9,53.9,0.568,0.539
UCLA,23,19,4,0.826,22.45,8.06,10.0,2.0,13,0,5,2,1717,1386,920,662,1425,0.465,146,408,0.358,247,345,0.716,280,826,344,204,92,241,355,0.286,52.0,12.6,0.173,0.242,35.4,110.8,67.4,13.2,13.2,53.1,0.54,0.516
UNC Asheville,26,19,7,0.731,-2.69,-4.97,11.0,2.0,11,0,7,6,1963,1814,1060,681,1434,0.475,212,546,0.388,389,567,0.686,223,905,339,174,107,375,434,0.381,49.8,10.5,0.271,0.395,26.2,105.5,70.2,9.3,18.0,50.0,0.576,0.549
UNC Greensboro,26,17,9,0.654,2.25,-2.21,11.0,2.0,9,3,7,4,1846,1634,1046,655,1476,0.444,197,571,0.345,339,477,0.711,260,946,380,192,65,313,436,0.387,58.0,7.6,0.23,0.323,29.3,104.6,67.5,10.9,15.5,52.0,0.542,0.511
UNC Wilmington,26,19,7,0.731,-1.31,-3.27,9.0,4.0,9,2,7,5,1795,1652,1040,621,1395,0.445,162,490,0.331,391,541,0.723,262,875,286,175,75,307,473,0.351,46.1,8.6,0.28,0.388,30.8,105.4,65.5,10.3,15.7,51.1,0.543,0.503
UT Arlington,23,8,15,0.348,-4.97,2.23,3.0,8.0,5,7,2,6,1527,1532,920,547,1336,0.409,136,433,0.314,297,455,0.653,315,852,297,147,71,307,433,0.324,54.3,9.3,0.222,0.341,36.7,98.8,67.2,9.5,16.5,52.9,0.492,0.46
Utah,25,16,9,0.64,13.22,3.3,9.0,5.0,12,3,4,4,1761,1544,1005,633,1434,0.441,182,526,0.346,313,437,0.716,275,982,373,138,108,299,379,0.367,58.9,11.3,0.218,0.305,31.7,105.7,66.3,8.3,15.4,52.8,0.536,0.505
Utah State,25,19,6,0.76,13.55,6.22,8.0,4.0,11,2,4,3,1990,1776,1005,681,1411,0.483,251,607,0.414,377,499,0.756,217,884,430,121,91,302,414,0.43,63.1,9.2,0.267,0.354,27.7,114.3,69.3,7.0,15.5,53.1,0.604,0.572
Utah Tech,25,11,14,0.44,-1.04,1.51,3.0,9.0,8,3,2,11,1887,1833,1000,629,1383,0.455,220,569,0.387,409,594,0.689,253,862,328,176,54,382,486,0.411,52.1,6.1,0.296,0.43,29.9,105.1,71.9,9.8,18.7,51.7,0.567,0.534
Utah Valley,25,19,6,0.76,6.36,0.96,10.0,2.0,10,1,8,4,1907,1689,1015,683,1493,0.457,166,505,0.329,375,513,0.731,261,1000,393,171,160,329,445,0.338,57.5,15.2,0.251,0.344,29.5,105.7,71.1,9.5,15.9,51.9,0.549,0.513
UTEP,23,11,12,0.478,-0.52,1.29,4.0,8.0,10,3,1,9,1576,1537,950,576,1282,0.449,109,397,0.275,315,513,0.614,259,825,280,208,60,357,417,0.31,48.6,7.7,0.246,0.4,32.0,96.7,68.6,12.8,19.0,52.0,0.516,0.492
UTSA,25,7,18,0.28,-9.09,0.65,1.0,13.0,7,8,0,10,1679,1869,1011,562,1417,0.397,189,571,0.331,366,494,0.741,268,884,264,89,57,340,443,0.403,47.0,5.9,0.258,0.349,29.2,97.4,68.2,5.2,17.1,48.5,0.508,0.463
Valparaiso,26,10,16,0.385,-7.92,-2.08,4.0,11.0,7,5,2,10,1798,1908,1065,661,1512,0.437,167,555,0.301,309,429,0.72,204,887,344,160,60,326,436,0.367,52.0,6.3,0.204,0.284,22.6,98.1,68.8,8.7,16.0,49.1,0.524,0.492
Vanderbilt,24,12,12,0.5,7.13,8.26,5.0,6.0,9,5,2,5,1693,1720,970,597,1428,0.418,194,598,0.324,305,425,0.718,282,876,282,121,109,273,396,0.419,47.2,12.4,0.214,0.298,31.7,104.4,66.9,7.5,14.3,50.5,0.519,0.486
Vermont,24,14,10,0.583,-0.07,-1.64,8.0,2.0,6,1,7,6,1690,1616,972,616,1347,0.457,198,581,0.341,260,376,0.691,167,762,318,143,60,239,370,0.431,51.6,7.1,0.193,0.279,21.1,106.0,65.6,9.0,13.5,48.8,0.554,0.531
Villanova,24,11,13,0.458,9.18,7.39,5.0,8.0,7,3,3,7,1685,1642,965,571,1297,0.44,210,630,0.333,333,403,0.826,175,760,269,132,37,257,386,0.486,47.1,4.8,0.257,0.311,23.2,107.2,65.2,8.4,14.7,49.4,0.566,0.521
Virginia,22,18,4,0.818,15.95,6.31,10.0,3.0,11,1,5,3,1540,1328,880,532,1165,0.457,168,442,0.38,308,426,0.723,182,714,359,147,97,201,311,0.379,67.5,13.7,0.264,0.366,26.4,111.0,63.0,10.6,12.8,50.8,0.563,0.529
Virginia Commonwealth,25,18,7,0.72,8.16,1.36,9.0,3.0,12,3,5,3,1751,1581,1000,603,1326,0.455,149,447,0.333,396,563,0.703,231,817,309,232,106,358,399,0.337,51.2,11.8,0.299,0.425,28.6,101.6,68.9,13.5,18.3,49.6,0.549,0.511
VMI,26,6,20,0.231,-14.94,-3.03,1.0,12.0,5,6,1,12,1811,1954,1045,659,1544,0.427,248,688,0.36,245,322,0.761,285,938,300,139,31,356,405,0.446,45.5,4.0,0.159,0.209,31.4,102.4,67.7,7.9,17.3,52.1,0.534,0.507
Virginia Tech,24,14,10,0.583,11.25,5.38,4.0,9.0,11,3,0,7,1775,1634,965,660,1402,0.471,192,545,0.352,263,358,0.735,203,824,368,125,83,245,374,0.389,55.8,9.2,0.188,0.255,25.9,109.6,67.1,7.7,13.5,50.5,0.565,0.539
Wagner,21,12,9,0.571,-10.86,-9.66,5.0,5.0,6,3,6,6,1364,1324,845,506,1232,0.411,147,453,0.325,205,299,0.686,266,755,273,145,34,253,430,0.368,54.0,5.5,0.166,0.243,34.6,100.3,64.4,10.7,15.5,53.8,0.496,0.47
Wake Forest,25,16,9,0.64,10.05,5.29,8.0,6.0,11,2,4,5,1949,1830,1010,672,1447,0.464,229,620,0.369,376,503,0.748,207,869,322,155,65,290,406,0.428,47.9,7.5,0.26,0.348,24.6,109.7,70.3,8.7,14.7,50.0,0.578,0.544
Washington,25,13,12,0.52,7.0,8.16,5.0,9.0,10,5,1,7,1743,1772,1015,620,1431,0.433,170,530,0.321,333,444,0.75,223,851,291,176,139,360,417,0.37,46.9,14.2,0.233,0.31,26.5,98.5,69.8,9.9,18.0,47.6,0.531,0.493
Washington State,25,10,15,0.4,10.92,9.36,5.0,9.0,7,3,2,8,1684,1645,1005,592,1408,0.42,215,600,0.358,285,398,0.716,279,871,290,119,71,321,403,0.426,49.0,7.6,0.202,0.283,32.3,103.2,65.0,7.3,16.7,52.2,0.527,0.497
Weber State,23,12,11,0.522,-4.41,-0.86,7.0,4.0,6,2,5,8,1539,1543,930,530,1183,0.448,159,459,0.346,320,407,0.786,144,713,252,135,32,309,414,0.388,47.5,4.4,0.27,0.344,20.6,99.7,66.4,8.7,18.3,49.9,0.559,0.515
West Virginia,24,15,9,0.625,17.6,9.27,4.0,7.0,11,3,2,5,1860,1660,965,629,1370,0.459,174,492,0.354,428,589,0.727,262,821,322,153,77,301,460,0.359,51.2,9.1,0.312,0.43,33.3,110.1,70.0,9.1,15.4,52.6,0.564,0.523
Western Carolina,26,14,12,0.538,-6.19,-4.41,7.0,6.0,7,5,5,7,1973,1836,1060,676,1568,0.431,235,691,0.34,386,539,0.716,269,971,338,156,71,284,449,0.441,50.0,6.5,0.246,0.344,28.2,107.4,69.3,8.5,13.5,51.8,0.541,0.506
Western Illinois,24,15,9,0.625,-6.67,-4.53,8.0,5.0,11,2,4,7,1775,1723,965,631,1380,0.457,166,517,0.321,347,491,0.707,223,845,329,140,91,274,340,0.375,52.1,9.3,0.251,0.356,26.9,106.0,69.4,8.4,14.5,50.6,0.55,0.517
Western Kentucky,24,13,11,0.542,-0.6,-0.41,5.0,8.0,7,4,4,6,1755,1675,965,621,1401,0.443,193,520,0.371,320,443,0.722,212,838,324,148,134,265,370,0.371,52.2,16.1,0.228,0.316,25.3,105.5,69.0,8.9,14.1,48.2,0.545,0.512
Western Michigan,24,6,18,0.25,-9.19,-1.33,2.0,9.0,5,5,1,12,1711,1775,960,622,1415,0.44,191,565,0.338,276,382,0.723,304,910,316,111,50,310,412,0.399,50.8,6.1,0.195,0.27,35.8,106.5,67.0,6.9,16.3,54.6,0.536,0.507
Wichita State,24,12,12,0.5,5.09,3.09,5.0,7.0,6,7,5,3,1649,1601,970,595,1380,0.431,153,524,0.292,306,427,0.717,239,872,284,142,99,289,353,0.38,47.7,11.5,0.222,0.309,29.0,100.7,67.5,8.7,15.4,50.6,0.521,0.487
William & Mary,25,9,16,0.36,-9.87,-1.87,4.0,8.0,8,5,1,11,1707,1781,1000,616,1392,0.443,183,492,0.372,292,440,0.664,268,855,308,147,54,312,415,0.353,50.0,6.1,0.21,0.316,31.5,103.8,65.8,8.9,16.3,51.0,0.533,0.508
Winthrop,26,11,15,0.423,-6.6,-2.56,6.0,7.0,8,3,2,11,1881,1909,1040,630,1351,0.466,228,616,0.37,393,531,0.74,215,811,310,146,86,381,440,0.456,49.2,9.0,0.291,0.393,27.1,106.3,68.1,8.3,19.2,48.1,0.587,0.551
Wisconsin,23,14,9,0.609,10.63,8.76,6.0,7.0,7,4,4,4,1497,1454,940,545,1294,0.421,196,536,0.366,211,325,0.649,163,703,277,152,35,204,361,0.414,50.8,4.4,0.163,0.251,20.5,100.7,63.2,10.2,12.3,46.3,0.517,0.497
Wofford,26,13,13,0.5,-4.72,-2.68,5.0,8.0,10,4,3,9,1937,1859,1050,711,1507,0.472,196,591,0.332,319,430,0.742,238,866,331,149,51,289,355,0.392,46.6,5.8,0.212,0.285,29.1,110.1,67.0,8.5,14.4,51.9,0.566,0.537
Wright State,26,15,11,0.577,-1.29,-5.63,8.0,7.0,7,6,6,4,2114,1915,1070,832,1663,0.5,148,427,0.347,302,411,0.735,254,978,391,167,71,340,407,0.257,47.0,7.2,0.182,0.247,28.6,108.7,72.7,8.6,15.5,52.8,0.569,0.545
Wyoming,23,7,16,0.304,1.44,4.94,2.0,9.0,6,6,0,5,1610,1654,925,565,1256,0.45,199,572,0.348,281,406,0.692,183,753,262,106,54,275,340,0.455,46.4,7.0,0.224,0.323,24.2,104.5,66.6,6.9,16.0,50.0,0.556,0.529
Xavier,24,19,5,0.792,16.64,8.81,11.0,2.0,13,1,5,2,2012,1824,965,745,1485,0.502,182,450,0.404,340,471,0.722,247,904,504,169,89,306,388,0.303,67.7,8.9,0.229,0.317,31.0,113.7,73.3,9.6,15.2,53.5,0.589,0.563
Yale,22,16,6,0.727,7.39,-2.41,6.0,3.0,8,1,6,5,1650,1342,885,623,1303,0.478,167,473,0.353,237,349,0.679,233,848,330,138,91,252,368,0.363,53.0,12.5,0.182,0.268,31.8,111.5,66.9,9.3,14.6,55.6,0.562,0.542
Youngstown State,25,19,6,0.76,2.59,-5.76,11.0,3.0,11,2,7,4,2089,1817,1025,761,1543,0.493,212,546,0.388,355,454,0.782,266,893,397,188,70,292,392,0.354,52.2,7.0,0.23,0.294,32.2,117.2,69.5,10.5,14.2,52.7,0.594,0.562
