,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,Adj T.,WAB
136,137,Appalachian St.,SB,23,14-127–6,100.0277,98.053,.5578137,48.4279,4744,16.968,18200,23.7318,28.7191,29.9235,24.734,48268,45.421,32.7237,33127,65.2287,-7.1212
137,138,Brown,Ivy,22,12-105–4,101.5241,99.577,.5556138,51.1146,50.3167,19.4249,19.3118,22.9330,22.611,28.2280,24.835,49.9184,49.3136,35.2114,34.7222,68.7108,-5.4157
138,139,Davidson,A10,22,11-124–7,105.9152,103.9165,.5536139,50.4181,50151,1775,17.5234,25.3280,29.7227,31.7161,2896,51.6112,51.2225,32279,31.867,65.8253,-6.4191
139,140,Quinnipiac   (A) 237 Niagara,MAAC,23,17-78–5,104.5178,102.6135,.5532140,49.9213,46.428,18.6192,16.6289,33.930,26.7102,34.685,25.745,48.3256,46.964,35123,30.326,69.662,-3.3121
140,141,Towson,CAA,25,17-89–3,107.5120,105.6201,.5521141,50.2192,49.3126,18.1148,18.3176,36.113,27.5134,29.8238,27.274,48.3256,47.994,3673,34.1185,63.5336,-3.8129
141,142,Seattle,WAC,23,17-88–4,101.6237,99.986,.5498142,47.5303,48.9110,17.178,18200,30.3120,25.863,30.2218,34.4263,47.9271,49.3136,31.3301,32.287,68.8104,-2.7102
142,143,UC Davis,BW,22,14-107–5,105.9151,104.1169,.5495143,51.7112,50.6183,21.5328,21.247,32.955,29.7227,41.111,31.7199,51.4128,47.782,34.9135,38.2351,70.533,-5.5164
143,144,LSU,SEC,24,12-121–10,104.6177,102.9140,.5487144,47.7298,50.9194,19.1231,18.6154,30.3120,29.6220,32.4138,2767,46.6310,52.1266,33219,32.7115,65.6264,-2.9109
144,145,South Alabama,SB,23,11-145–8,103.3200,101.8117,.5423145,50.6171,47.975,15.826,16.6289,21346,28.3167,20.8361,29124,52.387,48.8123,31.9282,30.326,66.6218,-8.1231
145,146,Louisiana Tech,CUSA,21,13-116–7,105.2170,103.6161,.5420146,5298,52.8294,20279,22.130,28.8183,28.6183,29256,39.7332,51.6112,49.9164,35.1117,37.6337,66.8205,-5.8171
146,147,Missouri St.,MVC,24,13-129–6,104.7175,103.2154,.5395147,50.2192,49.6140,19.5251,19.3118,32.564,27.6140,27.9286,29.9151,50.8153,50.5197,32.9227,32.395,62.1357,-6.2186
147,148,Utah Tech,WAC,22,11-143–9,106.8127,105.4190,.5382148,52.481,54.4331,21.7333,20.379,29.1175,26.697,44.36,34.4263,49.1224,53.5317,38.216,37.4334,69.949,-7.5221
148,149,Tarleton St.,WAC,22,13-126–6,103.1202,101.8118,.5372149,47.4307,52.1269,18.5184,23.315,26.7236,31284,47.61,46.1359,46.8303,51216,33219,35.7280,66.9196,-5.7167
149,150,Ball St.,MAC,22,17-78–3,106.7130,105.4191,.5340150,52.669,50.2164,18.4176,17.7216,30.9105,28.4175,45.23,30.1159,50.5164,47.782,37.620,37325,66.6213,-2.8105
