,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
98,Georgetown,15,5,10,.333,-1.32,2.88,,0,4,,4,5,,0,4,,1102,1165,,69.9,103.4,.302,.295,.520,50.0,43.7,8.5,12.8,.488,14.9,31.3,.215
99,Georgia,13,10,3,.769,3.71,-3.60,,0,0,,8,0,,0,2,,927,832,,68.2,104.4,.351,.368,.539,55.0,51.6,10.1,9.2,.499,17.9,35.4,.259
100,Georgia Southern,15,9,6,.600,-4.69,-3.61,,2,0,,6,2,,2,4,,1021,941,,67.4,101.0,.245,.351,.516,52.3,40.4,12.4,9.9,.493,15.0,29.8,.165
101,Georgia State,14,8,6,.571,-2.16,-0.52,,1,1,,8,4,,0,2,,946,882,,67.3,99.5,.292,.305,.495,52.8,44.1,8.4,10.7,.455,15.2,34.8,.215
102,Georgia Tech,13,7,6,.538,3.95,3.61,,0,3,,6,2,,1,2,,926,892,,69.2,103.0,.274,.326,.518,48.8,48.4,9.8,11.5,.489,13.9,29.9,.192
103,Gonzaga,15,12,3,.800,18.27,8.56,,1,0,,8,0,,0,1,,1303,1089,,74.3,116.9,.315,.318,.607,55.2,51.5,10.9,8.0,.587,14.9,31.0,.223
104,Grambling,13,7,6,.538,-2.64,-0.46,,0,1,,4,0,,2,5,,872,812,,69.6,96.4,.342,.274,.509,51.9,53.1,11.7,12.4,.483,19.0,32.8,.217
105,Grand Canyon,14,10,4,.714,5.84,1.51,,1,0,,8,1,,1,1,,1003,843,,65.9,107.7,.306,.414,.531,54.0,50.8,8.4,7.1,.501,13.8,33.5,.216
106,Green Bay,15,2,13,.133,-18.95,-1.75,,1,3,,2,2,,0,9,,873,1131,,66.8,87.1,.352,.379,.493,44.0,51.3,7.7,7.2,.449,20.2,22.1,.252
107,Hampton,14,3,11,.214,-14.99,-1.22,,0,2,,3,1,,0,7,,965,1115,,71.9,95.8,.389,.389,.486,47.2,51.3,5.9,9.4,.447,14.8,27.3,.257
108,Hartford,16,4,12,.250,-24.88,-7.27,,,,,4,5,,0,5,,1007,1091,,67.6,93.2,.282,.382,.503,48.7,54.8,9.9,11.6,.474,18.6,26.9,.193
109,Harvard,15,9,6,.600,-0.48,-1.87,,0,1,,3,2,,5,3,,1007,967,,67.9,98.0,.310,.379,.517,53.0,52.8,11.5,11.2,.495,18.1,31.7,.196
110,Hawaii,14,11,3,.786,5.99,-1.47,,2,0,,8,2,,0,0,,957,836,,65.3,103.7,.326,.359,.540,52.9,48.7,8.1,10.3,.507,15.9,31.0,.233
111,High Point,14,8,6,.571,-3.23,-2.06,,0,2,,5,2,,1,4,,1131,1090,,76.4,105.5,.409,.360,.532,49.7,42.8,8.5,11.0,.503,15.4,31.9,.264
112,Hofstra,15,8,7,.533,1.22,3.51,,1,1,,3,1,,3,4,,1106,1090,,69.5,105.2,.245,.413,.565,46.0,50.6,8.2,8.7,.539,15.2,20.9,.184
113,Holy Cross,15,5,10,.333,-13.34,-4.34,,2,0,,4,3,,1,5,,997,1066,,69.2,96.1,.237,.331,.515,46.3,47.8,10.6,7.4,.497,16.7,23.4,.152
114,Houston,15,14,1,.933,27.49,3.36,,2,0,,9,1,,3,0,,1125,763,,64.3,116.6,.248,.350,.554,55.7,51.2,13.5,18.8,.531,13.2,39.0,.176
115,Houston Christian,14,4,10,.286,-19.23,-1.77,,1,0,,4,4,,0,6,,1130,1201,,76.2,104.9,.282,.362,.565,50.9,53.2,9.0,7.3,.545,19.0,31.5,.192
116,Howard,16,7,9,.438,-10.49,-0.70,,0,0,,4,2,,2,5,,1106,1178,,71.1,97.2,.305,.344,.526,50.0,51.1,10.5,9.6,.492,19.6,30.5,.219
117,Idaho,15,6,9,.400,-6.20,-4.44,,0,2,,4,3,,2,6,,1150,1025,,67.9,112.7,.345,.402,.592,50.8,49.5,8.6,4.1,.560,15.3,26.0,.259
118,Idaho State,15,5,10,.333,-5.31,-2.69,,2,0,,4,3,,1,6,,1054,1039,,67.6,101.3,.289,.445,.541,47.9,49.9,9.3,7.7,.508,16.0,23.9,.216
119,Illinois,13,9,4,.692,16.54,2.15,,0,2,,7,1,,0,1,,1015,828,,71.6,108.0,.333,.459,.562,54.8,51.2,11.4,15.1,.541,18.0,35.7,.219
120,Illinois State,15,6,9,.400,-5.72,-3.65,,1,3,,4,3,,2,2,,993,1024,,66.2,99.1,.317,.416,.538,52.3,47.5,8.3,10.9,.494,19.3,29.9,.251
121,Illinois-Chicago,15,9,6,.600,-7.15,-4.00,,1,3,,5,2,,2,4,,1003,1013,,70.0,95.5,.374,.426,.514,45.4,53.8,10.3,12.6,.481,17.0,23.3,.250
122,Incarnate Word,14,6,8,.429,-16.14,-5.41,,0,1,,4,1,,0,7,,973,997,,70.3,98.1,.304,.310,.521,49.4,50.3,12.3,5.6,.485,17.7,28.8,.222
123,Indiana,13,10,3,.769,16.24,1.47,,1,1,,8,0,,1,2,,1041,849,,71.4,112.1,.307,.326,.588,53.4,57.4,10.1,15.6,.567,15.5,28.8,.213
124,Indiana State,15,11,4,.733,4.49,-4.80,,4,0,,6,1,,3,2,,1218,1051,,73.5,109.5,.285,.475,.584,50.4,55.1,10.3,4.8,.556,15.1,22.6,.215
125,Iona,14,10,4,.714,12.37,1.23,,3,0,,5,0,,0,2,,1084,928,,70.8,109.4,.252,.323,.550,49.5,53.7,10.8,15.9,.521,13.6,29.7,.190
126,Iowa,14,8,6,.571,13.47,3.76,,0,3,,6,2,,1,2,,1135,999,,71.7,112.0,.353,.372,.541,51.9,59.1,9.2,8.6,.505,11.7,32.0,.253
